Topic	Count	Name	Representation	Label
22	171	22_stradale_sicurezza_pedibus_strade	['stradale', 'sicurezza', 'pedibus', 'strade', 'attraversamenti', 'velocitа', 'mobilitа', 'dossi', 'pedonali', 'scuola', 'bambini', 'strada', 'nonni', 'piedi', 'artificiali', 'traffico', 'segnaletica', 'polizia', 'sostenibile', 'autobus', 'pedoni', 'attraversamento', 'veicolare', 'vigile', 'pedonale', 'scuole', 'sicuri', 'rendere', 'dissuasori', 'vigili']	Sicurezza Stradale Pedonale
23	151	23_nido_servizio_infanzia_anticipo	['nido', 'servizio', 'infanzia', 'anticipo', 'posti', 'trasporto', 'posticipo', 'nidi', 'educativo', 'servizi', 'luserna', 'post', 'chiusura', 'scolastico', 'settembre', 'famiglie', 'quota', 'frequenza', 'utenti', 'scuola', 'domande', 'anni', 'sovracomunale', 'prima', 'khlummane', 'lustege', 'ammissione', 'disponibili', 'bambini', 'tritt']	Servizi educativi per l'infanzia
24	142	24_azzardo_dipendenze_gioco_ludopatia	['azzardo', 'dipendenze', 'gioco', 'ludopatia', 'slot', 'contrasto', 'machine', 'sensibilizzazione', 'prevenzione', 'apparecchi', 'fenomeno', 'denaro', 'patologico', 'dipendenza', 'tema', 'esercizi', 'contrastare', 'alcool', 'terminals', 'lottery', 'vincita', 'incontri', 'divieto', 'video', 'volte', 'tematiche', 'acat', 'alcol', 'azioni', 'iniziative']	Prevenzione e contrasto dipendenze
25	139	25_baby_home_little_pit	['baby', 'home', 'little', 'pit', 'stop', 'allattamento', 'allattare', 'unicef', 'cambio', 'spazio', 'biblioteca', 'mamme', 'fasciatoio', 'presso', 'cambiare', 'mamma', 'poltrona', 'confortevole', 'biberon', 'bps', 'casetta', 'pannolino', 'presepi', 'allestimento', 'diritti', 'angolo', 'bambino', 'sanciti', 'parco', 'papа']	Servizi per l'infanzia
26	129	26_civile_universale_cittadinanza_scup	['civile', 'universale', 'cittadinanza', 'scup', 'progetti', 'servizio', 'cittadini', 'confronto', 'provinciale', 'amministrazione', 'attiva', 'ufficio', 'incontri', 'partecipazione', 'giovane', 'politiche', 'raccogliere', 'giunta', 'civico', 'proposte', 'accrescano', 'impegno', 'incoraggiare', 'stimoli', 'osservazioni', 'sviluppo', 'progetto', 'giovanili', 'turista', 'comunale']	Partecipazione Civica Attiva
27	119	27_lavori_intervento_socialmente_utili	['lavori', 'intervento', 'socialmente', 'utili', 'occupazione', '19', 'lavoro', 'lavorativo', 'persone', 'inserimento', 'verde', 'soggetti', 'interventi', 'deboli', 'manutenzione', 'occupabilitа', 'accompagnamento', 'lavorativi', 'urbano', 'lavoratori', 'limiti', 'occupazionali', 'progetti', 'abbellimento', 'progetto', 'impiego', 'recupero', 'ex', 'risposta', 'agenzia']	Inserimento Lavorativo Categorie Deboli
28	118	28_tariffe_tariffa_agevolazioni_tariffarie	['tariffe', 'tariffa', 'agevolazioni', 'tariffarie', 'rifiuti', 'componenti', 'isee', 'comma', 'lett', 'variabile', 'utenze', 'regolamento', 'agevolazione', 'nido', 'applicazione', 'quota', 'riduzione', 'nuclei', 'domestiche', 'infanzia', 'deliberazione', 'art', 'fissa', '00', 'inferiore', 'agevolate', 'familiari', 'frequenza', 'urbani', 'tari']	Gestione Tariffe e Agevolazioni
29	116	29_digitale_tecnologie_digitali_informatica	['digitale', 'tecnologie', 'digitali', 'informatica', 'media', 'divario', 'nuove', 'strumenti', 'comunicazione', 'uso', 'tecnologia', 'intergenerazionale', 'corsi', 'on', 'utilizzo', 'alfabetizzazione', 'line', 'smartphone', 'informatiche', 'corretto', 'giovani', 'educatori', 'piщ', 'internet', 'sportello', 'digitalizzazione', 'attraverso', 'tablet', 'difficoltа', 'generazioni']	Alfabetizzazione Digitale Intergenerazionale
30	114	30_alberi_festa_bosco_forestale	['alberi', 'festa', 'bosco', 'forestale', 'orto', 'primaria', 'natura', 'scuola', 'fiorito', 'lol', 'bambini', 'contatto', 'outdoor', 'organizza', 'collaborazione', 'territorio', 'giornata', 'ambiente', 'fiori', 'learning', 'fauna', 'flora', 'giardino', 'locale', 'progetto', 'naturale', 'vallarsa', 'piante', 'ragazzi', 'conoscenza']	Educazione Ambientale Scolastica
31	103	31_orti_urbanistica_pianificazione_terreno	['orti', 'urbanistica', 'pianificazione', 'terreno', 'orto', 'architettoniche', 'barriere', 'ort', 'saltari', 'appezzamenti', 'arredo', 'comunali', 'terreni', 'destinare', 'area', 'urbano', 'comunitari', 'aree', 'coltivazione', 'lotti', 'apposito', 'gestiti', 'terra', 'realizzazione', 'comunale', 'storico', 'trapiantati', 'nи', 'tione', 'titolo']	Gestione Aree Verdi Urbane
32	98	32_tagesmutter_contributo_servizio_icef	['tagesmutter', 'contributo', 'servizio', 'icef', 'nido', 'familiare', 'base', 'sorriso', 'orario', 'cooperativa', 'ore', 'massimo', 'famiglie', 'affidare', 'complementare', 'usufruiscono', 'continuativo', 'convenzione', 'erogato', 'sostenuti', 'abbattimento', 'stabile', 'indicatore', 'modo', 'sostegno', 'infanzia', 'formato', 'organismi', 'operante', 'risposte']	Servizi di assistenza all'infanzia
33	92	33_standard_accordo_effettive_adeguare	['standard', 'accordo', 'effettive', 'adeguare', 'prioritario', 'specificitа', 'attivarsi', 'ciascuno', 'offerte', 'considerando', 'aderenti', 'attori', 'implementare', 'family', 'strutture', 'affinchй', 'ospiti', 'privati', 'possano', 'base', 'impegna', 'esigenze', 'residenti', 'obiettivo', 'sensibilizzare', 'pubblici', 'area', 'proposte', 'famiglie', 'sostegno']	Sostegno e Sensibilizzazione Comunitaria
34	88	34_passeggiate_sentieri_mappatura_family	['passeggiate', 'sentieri', 'mappatura', 'family', 'percorsi', 'chiese', 'escursioni', 'famiglie', 'consorzio', 'membri', 'procedere', 'turistico', 'sentieristica', 'pineta', 'valle', 'misura', 'cartaceo', 'collaborazione', 'puntuale', 'adatti', 'spaziando', 'segnaletica', 'scelte', 'orientare', 'programmate', 'potuta', 'settimanali', 'ecomuseo', 'facenti', 'passeggiata']	Gestione Percorsi Turistici
35	81	35_percorso_sentiero_sentieri_ripristino	['percorso', 'sentiero', 'sentieri', 'ripristino', 'sentieristica', 'tracciato', 'sosta', 'lungo', 'sensoriale', 'legno', 'acqua', 'bosco', 'realizzazione', 'pedonale', 'rabbi', 'rete', 'ciclopedonale', 'pista', 'manutenzione', 'tematici', 'vegetazione', 'tematico', 'riserve', 'piramidi', 'numerosi', 'percorsi', 'strada', 'tratto', 'area', 'anello']	Gestione Percorsi Naturalistici
36	74	36_salute_prevenzione_lilt_tumori	['salute', 'prevenzione', 'lilt', 'tumori', 'rosa', 'tumore', 'serate', 'benessere', 'campagna', 'ottobre', 'seno', 'incontri', 'malattie', 'giornata', 'ossana', 'mese', 'donne', 'diagnosi', 'nastro', 'vita', 'caldes', 'volte', 'dedicato', 'donna', 'giovedм', 'precoce', 'marzo', 'stili', 'informative', 'organizzare']	Prevenzione e Salute Femminile
37	73	37_sito_facebook_pagina_web	['sito', 'facebook', 'pagina', 'web', 'internet', 'telegram', 'istituzionale', 'instagram', 'social', 'comune', 'bacheca', 'brentonico', 'informazioni', 'canali', 'informativa', 'pubblicazione', 'portale', 'sezione', 'point', 'family', 'informativo', 'pagine', 'comunicazioni', 'consorzio', 'trentini', 'comunicazione', 'folgaria', 'intuitivo', 'avvisi', 'informazione']	Gestione Comunicazione Digitale
38	71	38_ricarica_bike_colonnine_mobilitа	['ricarica', 'bike', 'colonnine', 'mobilitа', 'elettriche', 'biciclette', 'sharing', 'elettrica', 'bici', 'ciclabile', 'sostenibile', 'ciclabili', 'collegamento', 'comuniciclabili', 'bicicletta', 'vocazione', 'punti', 'primiero', 'brenta', 'ambientale', 'immagine', 'stazioni', 'progetto', 'pista', 'noleggio', 'amministrazioni', 'territorio', 'fiab', 'ciclabilitа', 'lavora']	Infrastrutture per Mobilità Ciclistica Sostenibile
39	69	39_ambulatorio_pediatrico_medico_ambulatori	['ambulatorio', 'pediatrico', 'medico', 'ambulatori', 'medici', 'infermieristico', 'pediatra', 'pediatrici', 'pediatrica', 'disposizione', 'sanitari', 'medicina', 'mette', 'prelievi', 'logopedista', 'sostenendo', 'fasciatoio', 'presenti', 'servizi', 'sangue', 'psicologa', 'altri', 'titolo', 'base', 'ore', 'descrizione', 'presenza', 'spese', 'disostruzione', 'generale']	Servizi Sanitari Pediatrici
40	65	40_terza_universitа_etа_disponibile	['terza', 'universitа', 'etа', 'disponibile', 'tempo', 'demarchi', 'corsi', 'fondazione', 'franco', 'accademico', 'trasporto', 'sede', 'partecipanti', 'trento', 'organizzato', 'ginnastica', 'folgaria', 'perlopiщ', 'de', 'centinaio', 'attivitа', 'motorie', 'finanziata', 'organizza', 'marchi', 'anno', 'dolce', 'lezioni', 'economicamente', 'vedono']	Attività Motorie e Sportive
41	62	41_emas_certificazione_ambientali_ambientale	['emas', 'certificazione', 'ambientali', 'ambientale', 'sistema', 'pefc', 'sostenibile', 'energia', 'prestazioni', 'gestione', 'energetica', 'emissioni', '14001', 'iso', '2008', 'scheme', 'proprie', 'certificazioni', 'efficienza', 'eco', 'management', 'regolamento', 'ita', 'organizzazioni', 'migliorare', 'europea', 'audit', 'rinnovabile', 'dichiarazione', 'ambiente']	Gestione Ambientale ed Energetica
42	62	42_wifi_free_wi_fi	['wifi', 'free', 'wi', 'fi', 'internet', 'trentinowifi', 'gratuito', 'piazza', 'rete', 'utilizzare', 'punti', 'pc', 'zone', 'gratuita', 'bettini', 'wilma', 'postazioni', 'biblioteca', 'sede', 'podestа', 'collegamento', 'libero', 'registrazione', 'connettivitа', 'piazze', 'luoghi', 'rosmini', 'presso', 'trentino', 'paese']	Accesso Internet Pubblico
43	60	43_suggerimenti_cassetta_reclami_ascolto	['suggerimenti', 'cassetta', 'reclami', 'ascolto', 'sportello', 'assessori', 'cittadini', 'raccogliere', 'sindaco', 'comunicazioni', 'popolazione', 'proposte', 'assessore', 'segnalazioni', 'appuntamento', 'ricevere', 'sede', 'raccolta', 'consigli', 'disponibili', 'municipale', 'anonima', 'problematiche', 'segnalare', 'cassettina', 'presso', 'confronto', 'sportelli', 'informazione', 'istanze']	Gestione Reclami e Segnalazioni
44	56	44_disabilitа_disabili_persone_indipendente	['disabilitа', 'disabili', 'persone', 'indipendente', 'autismo', 'abitare', 'inclusione', 'diritti', 'fragilitа', 'attenzione', 'residenzialitа', 'chiavi', 'casa', 'progetti', 'attuabili', 'minori', 'sociale', 'azioni', 'perseverare', 'ulss', 'sostegno', 'nazionale', 'possibile', 'mondiali', 'cohousing', 'orientata', 'formalmente', '112', 'ambito', 'vita']	Supporto Abitativo Inclusivo Disabili
45	55	45_creativi_laboratori_laboratorio_burro	['creativi', 'laboratori', 'laboratorio', 'burro', 'bambini', 'socializzanti', 'organizzati', 'giocando', 'genitori', 'divertendosi', 'sotto', 'organizzazione', 'esperti', 'biblioteche', 'stradale', 'guida', 'creativo', 'ragazzi', 'collaborando', 'educativi', 'tradizioni', 'polizia', 'vari', 'municipale', 'formativi', 'connessione', 'presenza', 'momenti', 'famiglie', 'ausilio']	Attività Educative e Sociali
46	54	46_alimentare_spreco_solidale_alimentari	['alimentare', 'spreco', 'solidale', 'alimentari', 'primiero', 'distribuzione', 'alimenti', 'lotta', 'alimentazione', 'scadenza', 'invenduti', 'vendibili', 'difettose', 'donano', 'commercialmente', 'confezioni', 'rovinate', 'rimasti', 'apas', 'resi', 'pacchi', 'prossima', 'cibo', 'supermercato', 'prodotti', 'volontari', 'associazione', 'onlus', 'sana', 'commerciali']	Distribuzione Alimenti Solidale
47	50	47_ski_pass_sci_agevolato	['ski', 'pass', 'sci', 'agevolato', 'stagionale', 'invernale', 'stagione', 'battitura', 'alpinismo', 'arrampicata', 'skipass', 'ciaspole', 'risalita', 'acquistare', 'impianti', 'abbonamento', 'comprensori', 'acquisto', 'prezzo', 'free', 'pista', 'sky', 'sole', 'peio', 'ghiaccio', 'marilleva', 'skibus', 'confermare', '30ђ', 'agevolazioni']	Attività Invernali e Skipass
48	50	48_animazione_animatori_bambini_occupare	['animazione', 'animatori', 'bambini', 'occupare', 'divertente', 'estiva', 'creativa', 'spettacoli', 'socializzare', 'metа', 'gestiti', 'maniera', 'consentire', 'girotondo', 'vivi', 'libero', 'progetto', 'ragazzi', 'estivo', 'esperti', 'film', 'etа', 'amicizia', 'grest', '11', 'stagionalmente', 'forzatи', 'primi', 'lunedм', 'albero']	Attività Estive per Bambini
49	49	49_autovalutazione_annuale_piano_documento	['autovalutazione', 'annuale', 'piano', 'documento', 'monitorare', 'verifica', 'materia', 'monitoraggio', 'previste', 'familiari', 'politiche', 'compilando', 'interventi', 'realizzate', 'approvare', 'presolana', 'distanza', 'entro', 'impegna', 'strumenti', 'valutazione', 'azioni', 'agenzia', 'attuazione', 'anno', 'grado', 'approvazione', 'reclami', 'cassetta', 'gradimento']	Gestione e Valutazione Politiche Pubbliche
50	47	50_lingua_madrelingua_inglese_tedesco	['lingua', 'madrelingua', 'inglese', 'tedesco', 'lingue', 'insegnante', 'accostamento', 'araba', 'straniera', 'linguistiche', 'corsi', 'tedesca', 'rovetta', 'scuola', 'progetto', 'precisa', 'insegnanti', 'soprattutto', 'ampliare', 'conoscenze', 'finanziario', 'ruffrи', 'permettere', 'usufruire', 'dell', 'solo', 'italiano', 'espresso', 'infanzia', 'dialetto']	Formazione Linguistica Specializzata
51	46	51_natale_babbo_natalizio_eventi	['natale', 'babbo', 'natalizio', 'eventi', 'pasqua', 'carnevale', 'periodo', 'calliano', 'befana', 'mercatini', 'uovo', 'ritrovo', 'natalizi', 'laboratori', 'domenica', 'bambini', 'ludici', 'rivolti', 'turistico', 'nascono', 'sfilata', 'partecipati', 'donare', 'cori', 'tanti', 'feste', 'gospel', 'tombolata', 'collaborazione', 'mamma']	Eventi Festivi e Ricreativi
52	44	52_figlio_contributo_acquisto_spendibile	['figlio', 'contributo', 'acquisto', 'spendibile', 'nati', 'nuovi', 'nuclei', 'forfettario', 'farmacia', 'euro', 'ogni', 'prodotti', 'idrico', 'terzo', 'alimentazione', 'farmaci', 'esclusi', '100', 'esclusivo', 'erogato', 'pannolini', 'bambino', 'salviette', '00', 'familiari', 'nato', 'nucleo', 'creme', 'sigilla', 'biodegradabili']	Sostegno Famiglie con Neonati
53	40	53_meritevoli_borse_studio_studenti	['meritevoli', 'borse', 'studio', 'studenti', 'premi', 'visibilitа', 'annualmente', 'aumentare', 'regolamento', 'assegnano', 'intestate', 'proprio', 'laureati', 'aderenti', 'marchio', 'stradali', 'conseguimento', 'cartelli', 'lauree', 'carte', 'laurea', 'denaro', 'tesi', 'comunicazioni', 'comuni', 'assegna', 'sssg', 'utilizzare', 'esame', 'borsa']	Sostegno Economico Studenti
54	36	54_stage_madonna_campiglio_pinzolo	['stage', 'madonna', 'campiglio', 'pinzolo', 'studenti', 'formativi', 'secondaria', 'scuola', 'primaria', 'stages', 'cles', 'grado', 'disponibilitа', 'istituto', 'istruzione', 'curricolari', 'accogliere', 'tecnico', 'zobia', 'mata', 'tirocini', 'rocchetta', 'rinviata', 'istituti', 'orientamento', 'buonarrotti', 'russel', 'professionale', 'curricolare', 'tirocinio']	Formazione e Orientamento Scolastico
55	35	55_conciliazione_lavoro_tempi_dipendenti	['conciliazione', 'lavoro', 'tempi', 'dipendenti', 'vita', 'aziende', 'appalto', 'famiglia', 'gare', 'ferie', 'micronido', 'prestazione', 'aumento', 'telelavoro', 'punteggio', 'estivi', 'convegno', 'favorire', 'welfare', 'lavoratrice', 'caratterizzino', 'promuovono', 'propri', 'proposta', 'servizio', 'aggiunta', 'estensione', 'handicap', 'periodo', 'lavoratore']	Politiche di Welfare Lavorativo
56	32	56_medici_multiservizi_farmacia_farmacie	['medici', 'multiservizi', 'farmacia', 'farmacie', 'medico', 'ambulatorio', 'ambulatori', 'medicina', 'farmaci', 'domicilio', 'generale', 'servizio', 'sort', 'consegna', 'farmaco', 'dar', 'locali', 'cittadino', 'pronto', 'assegnati', 'spesa', 'impossibilitate', '2049', 'supermarket', 'providing', 'smr', 'servizi', 'erboristeria', 'ruotano', 'parafarmacia']	Servizi Sanitari e Farmaceutici
57	32	57_estivo_asilo_calendarizzazione_custodia	['estivo', 'asilo', 'calendarizzazione', 'custodia', 'efficace', 'agosto', 'supportare', 'luglio', 'tempi', 'periodo', 'turistico', 'conciliazione', 'figli', 'mesi', 'opta', 'decisione', 'afflusso', 'sinergia', 'cosм', 'materna', 'tenendo', 'educazione', 'comano', 'adottare', 'tale', 'obiettivo', 'capofila', 'lavoro', 'anni', 'nido']	Gestione Servizi Educativi Estivi
58	31	58_paganella_altropiano_andalo_giovani	['paganella', 'altropiano', 'andalo', 'giovani', 'piano', 'altopiano', 'incontra', 'altri', 'spazio', 'impegnandosi', 'sede', 'comuni', 'cooperativa', '35', 'promuovere', 'mantiene', 'collaborare', 'progetti', 'centro', 'svolgono', 'mini', 'aps', 'siede', 'finanziano', 'attivitа', 'giovanile', 'risalita', 'denominato', 'comunitа', 'presentazione']	Promozione Attività Giovanili Comunitarie
59	31	59_illumino_meno_energetico_risparmio	['illumino', 'meno', 'energetico', 'risparmio', 'campagna', 'illuminazione', 'caterpillar', 'ore', 'iniziativa', 'basso', 'luci', 'radio', 'programma', 'giornata', 'ambientale', 'sostenibilitа', '18', 'rai', 'spegnere', 'sensibilizzazione', '00', 'pubblica', 'adesione', 'spegnimento', 'lampade', 'impatto', 'indetta', 'ognuno', 'illuminanti', 'abbassare']	Efficienza Energetica Illuminazione
